actor_id,first_name,last_name,gender,date_of_birth
120,Suraj,Sharma,M,1993-03-21
121,Martin,Sheen,M,1940-08-03
122,Douglas,Silva,M,1988-09-27
123,Dandan,Song,F,1961-08-25
124,Rafe,Spall,M,1983-03-10
125,Tilda,Swinton,F,1960-11-05
126,George,Tokoro,M,1955-01-26
127,Noah,Taylor,M,1969-09-04
128,Uma,Thurman,F,1970-04-29
129,John,Travolta,M,1954-02-18
130,Chris,Tucker,M,1971-08-31
131,Dick,Van Dyke,M,1925-12-13
132,Hugo,Weaving,M,1960-04-04
133,Olivia,Williams,F,1968-07-26
134,Mykelti,Williamson,M,1957-03-04
135,Bruce,Willis,M,1955-03-19
136,Luke,Wilson,M,1971-09-21
137,Owen,Wilson,M,1968-11-18
138,Patrick,Wilson,M,1973-07-03
139,Kate,Winslet,F,1975-10-05
140,Faye,Wong,F,1969-08-08
141,Robin,Wright,F,1966-04-08
142,Michelle,Yeoh,F,1962-08-06
143,Ji-tae,Yoo,M,1976-04-13
144,Jin-seo,Yoon,F,1983-08-05
145,Sean,Young,F,1959-11-20
146,Billy,Zane,M,1966-02-24
147,Ziyi,Zhang,F,1979-02-09
